pp,response_id,color_drink,color_drink_coded_1,color_drink_coded_2,color_drink_coded_3,color_health,color_health_coded_1,color_health_coded_2,color_health_coded_3,color_own,Color_own_coded_1,Color_own_coded_2,Color_own_coded_3
615,R_1psAGygk6FSLHvc,dark urine means you havent drunk enough fluid,amount,,,dark urine is more concentrated and therefore unhealthy,color,,,I would drink more if I saw that I had dark urine,drink_more,,
616,R_3EFlaod8cejJoJz,If they drink a lot of water the urine became light colour.,amount,,,Can effect on the health because this is a process that the body clean unneeded material.,color,,,Yes help me to indicate that I drink enough water.,drink_more,,
617,R_VRzQVS3Jem8CCGJ,Whether or not they are dehydrated,hydration,,,If urine is dark it could mean dehydration or blood in the urine indicating a deeper medical issue,hydration,disease,,If I notice my urine is dark I definitely increase my fluids consumption and make sure to add more plain water ie no sugary drinks,awareness,,
618,R_2B2PwZhD88ThkbU,"Generally, if it's yellow then they don't drink enough water.",amount,,,"Dehydration isn't good, so I assume it reflects poorly on them.",hydration,,,I drink >2l of water every day so usually my urine is clear.,drink_more,,
619,R_vOHtO3BYtBmN0Bj,"yes, i feel the darker it is, the more dehydrated the person is",hydration,,,it shows if someone is not drinking enough,hydration,,,"it doesnt, but i guess it should",no_effect,,
620,R_2q93GZADKbKe9AG,That they dont drink the right amount of water the darker it gets,amount,,,I dont think there is a direct relation between the two. I think your urine can change colour based on what you have drunk and eaten,no_effect,diet,,It doesnt. I dont tend to look at the colour of my urine.,no_effect,,
621,R_3QFXF8vi38VOKrB,The darker the urine the more dehydrated a person is.,hydration,,,"If a person has lighter urine I would assume they are fairly healthy, otherwise it could mean they have health issues including diabetes.",color,disease,,If I have darker urine I tend to try and drink more,drink_more,,
622,R_ugmEbcSUONxcSaJ,It tells you how hydrated or dehydrated they are,hydration,,,clearer is better,color,,,Doesn't really affect me.,no_effect,,
623,R_TnGEjwwE8BjzbfX,Yes,N/A,,,"Lighter the colour, better is the person's health",color,,,"If darker colour of urine, then I drink more water",drink_more,,
624,R_1BP0JTsK2zTjy21,If it's too dark then it means they are dehydrated and need to drink more water. If it's light or straw coloured it means they are adequately hydrated.,hydration,amount,,If you are not drinking enough water then you become lethargic and not perform at your best. A lighter urine shows that you are hydrated and you shoud have more energy,hydration,,,If it's darker than I would like then I definitely try to drink more water,drink_more,,
625,R_2CHTXAhy1J1qzOi,The lighter the colour the more hydrated a person is generally - unless consuming alcohol,hydration,diet,,Dark urine could be a sign of disease,disease,,,I do notice this and if I feel it is too dark I tend to ensure I immediately drink a good amount of water,sometimes_more,,
626,R_2bKm2y4oIeix4Su,"I think that if the urine is light then the person is hydrated and had enough to drink, if it is quite dark then they need to drink more but also are dehydrated",amount,hydration,,If somebody has dark urine it could mean that they are dehydrated and their body could be struggling and having a negative impact on their health. If urine is light and nothing else inside it then it can highlight that somebody is healthy,color,hydration,,If my urine is dark I am always encouraged to drink more water,drink_more,,
627,R_25Z6phN4y4P6HGB,i think if you dont drink enough your urine is dark coloured,amount,,,dark urine can mean dehydration,hydration,,,i can tell if i need to drink more,awareness,,
628,R_89bqk3y5ahly0ut,possibly I think lighter colour means they drink more,amount,,,I believe lighter is healthier,color,,,It probably should but it all honestly unless I notice a drastic change i don't take much notice,no_effect,,
629,R_081HZ34wuAgWzMB,If the colour of the urine has a strong colour that means they are not drinking enough.,amount,,,I don't really know.,N/A,,,I don't observe it  as I don't think about it.,no_effect,,
630,R_1GNfCWAsOvADygU,It's not a perfect indicator but if you're closer to the darker colours you really should grab something to hydrate.,hydration,,,"Healthy colours are on the scale you showed, anything outside that could show internal issues.",N/A,,,"if I'm closer to the darker colours on the scale you showed, I grab something to hydrate.",drink_more,,
631,R_2pPlLBi7M9uvzPq,Clear urine shows good hydration although vitamin pills etc will often colour it yellow.,hydration,diet,,Clearer is better,color,,,"If its yellow (without a connection with vitamin pills or heavy exercise, then I will drink more water.",drink_more,,
632,R_WidL19amltd2goh,"Urine should be the colour of pale straw, if the person is drinking enough water.",amount,,,Dark coloured urine may be a sign of poor health,color,,,If my urine was dark in colour it would remind me to drink some water.,drink_more,,
633,R_yqIc4uHtJwX4ynn,the stronger/darker the colour e.g. like cola then you dont drink enough fluids.,amount,,,as above,N/A,,,i dont drink alcohol at all.,N/A,,
634,R_1Cr2OuejrJmWsMF,The darker the urine is the more dehydrated the person might be,hydration,,,Darker color might mean a less healthy person,color,,,If mine is darker i will drink more water,drink_more,,
635,R_2zu4Pr05fUtZufT,"The lighter it is, the better. If it's dark it means the person is dehydrated and needs to drink more water. The light urine means the person is very well hydrated.",hydration,amount,,The very dark urine may mean a urinary tract infection. I know that diabetes changes the urine too but i'm not sure how.,disease,,,If I notice my urine is darker I try to drink more water because I suffered form urinary tract infections before and it could be very painful.,awareness,,
636,R_rqic4AgzL8Q7yMh,If it's a darker colour (such as yellow) it indicates dehydration.,hydration,,,A healthy person would likely have relatively clear urine.,color,,,It does make me think I need to drink more water.,awareness,,
637,R_QhR9dNoz5MnRWFz,Darker urine indicates dehydration as the urine is more concentrated,hydration,concentration,,I think that it's healthier to have pale coloured urine,color,,,I do keep an eye on it and adjust my fluid intake accordingly,awareness,,
638,R_1QLxZcd7O9VMHpX,"There is a storng correlation - lighter urine usually means a person has drunk more, as there is more excess water to be removed by kidneys. However, it also depends on what they drink - i.e. caffeinated drinks are diuretics so probably cause more water to be removed.",amount,diet,,Lighter urine (to an extent) probably indicates health as it indicates a person is more hydrated.,hydration,,,"If my urine is too dark, it does signal to me that I need to be drinking more.",drink_more,,
639,R_3sagbfsQ2aqLbN7,If it's dark they don't drink enough water,amount,,,Urination is a way of getting toxins out of the body. If it's dark then it's likely that not all toxins are leaving the body,N/A,,,I will try and correct my water intake if my urine is looking unhealthy,awareness,,
640,R_1F51u2lz9xavssq,If they drink enough water or not,amount,,,It shows how well their body retains water?,hydration,,,I drink more water when I notice my urine is yellow,drink_more,,
641,R_3I9IxFkHLUdNNAa,I believe urine is darker in colour the less hydrated you are - so well hydrated people should have lighter colour urine.,hydration,,,Not sure - I would imagine that darker urine indicates less hydration and therefore could indicate poorer health. Alternatively blood could indicate serious problems.,color,hydration,disease,"For myself it doesn't really impact this, however, I think possibly I should be more aware of this and use it as an indicator to drink more water.",no_effect,awareness,
642,R_3GE7SGDYilW9F48,I think is one of the main reason in my case,N/A,,,I think it can be possible,N/A,,,after kidney stone issues it does very much,awareness,,
643,R_a5Al0XifQvdsQBH,"more drink results in lighter colour, this excludes drinking alcohol",amount,diet,,"very much, dark urine means something is not right",color,,,i rarely think about it,no_effect,,
644,R_4Txed740RuQomd3,will be clear if you hydrated,hydration,,,how healthy they are,color,,,none,no_effect,,
645,R_2wAZxkICrWvoqY3,lighter colour means they drink more,amount,,,dark urine can be a sign of dehydration and also other medical conditions,hydration,disease,,doesn't,no_effect,,
646,R_1GB6Yjw2AktyIgS,"The lighter the urine, the more you have brank and the more you flush out your kidneys etc",amount,,,"Urine can help diagnose certain conditions I think. If the urine is dark and you have drank a lot, then that might be something to look at etc",hydration,disease,,"If it is dark, and you realise you havent been drinking much you would get a glass of water and drink the whole lot, then make sure to drink more",awareness,,
647,R_PLIEAyfIuMhH3tT,The more yellow means more dehydrated,hydration,,,More unhealthy,color,,,It makes me drink more water if more yellow,drink_more,,
648,R_1davOvPq3EIRKeG,Your urine should be almost clear if you are drinking enough,amount,,,"As well as showing how hydrated they are, it can also show some other things like if there is blood in it",hydration,disease,,It doesn't although I know I should drink much more than I do,no_effect,,
649,R_2YudtyEbbviHMq3,don't know,N/A,,,don't know,N/A,,,not at all,no_effect,,
650,R_74E0lZhwCdxraOB,How much dehydrated they are,hydration,,,I think strong colours may mean you need more fluids,hydration,,,I don't think about it,no_effect,,
651,R_1MTbUHjve4Wn6Jj,The lighter the colour the more hydrated somebody is,hydration,,,People that are hydrated are healthier so light colour means healthier people,hydration,color,,If it is noticeable how dark my urine is I will drink more,drink_more,,
652,R_28Ikz50I15tJp6K,the more you drink the clearer the urine will be and it will be less concentrated,amount,concentration,,dark urine may indicate dehydration or infections,hydration,disease,,if it's dark I'd drink more,drink_more,,
654,R_1nNHkGV3W9P2ZzR,If it is dark they are dehydrated,hydration,,,dark urine is unhealthy,color,,,If it is dark I tend to drink more liquids,drink_more,,
656,R_Djh9sZQsq8d85Xj,"I do not have any reflections, especially someone elses urine",N/A,,,I believe the darker it is the more problems you have,color,,,It does not,no_effect,,
657,R_eCYzMyySsEfO4RX,The darker it is the more dehydrated a person is.,hydration,,,Consistently dark might indicate kidney problems,organ,,,If it's dark I would try to remember to have more water.,drink_more,,
658,R_27D3mnN9U6F84sK,The lighter their urine is the more they have drunk as the drink dilutes the urine to make it less yellow.,amount,concentration,,I think it is related to kidney function as all liquid is processed through the kidneys.,organ ,,,If my urine is darker in colour i try to make a point of drinking more.,awareness,,
659,R_3HIgBlCsWsmYkSW,How dehydrated they are the darker it is,hydration,,,how efficient the kidneys are working,organ,,,useful check to make sure I'm drinking enough water,drink_more,,
660,R_3PGCTTJIgAXeAS5,"If they drink more water it will be paler, less and it will be darker.",amount,,,It should ideally be straw yellow.,N/A,,,If its very dark I will have more water.,drink_more,,
661,R_AF0s9feBtUc7zYB,"The more yellow it is, the less non alcohol liquids they are drinking.",amount,diet,,It is very much related to health and can determine if someone is dehydrated.,color,hydration,,"If my urine is very yellow, i drink more water.",drink_more,,
662,R_pimtdNBzSekkhqh,The darker the urine the less hydrated a person is,hydration,,,"Can be indicative not just of hydration levels, but signs of infection",hydration,disease,,I'm aware that if it's dark then I need to drink more fluids,awareness,,
663,R_2TFUR1k5ObVwAsa,"I think that your choice of drink and amount determines (to a large extent) the colour of urine, though other factors may also play a part.",amount,diet,,"To a great extent.  Not medically trained, I shoud imagine that the lighter the colour, the better your health is.",color,,,"I never do this.  Usually drink similar drinks each day, and urine is generally similar colour each day.",no_effect,,
664,R_eQ0tRNgNbt6Z0CR,The darker the colour indicates a build  or concentration up of toxins that have not been properly expelled.,toxins,concentration,,As toxins build up one health is affected such as albumin etc,N/A,disease,,If the colour of my urine changes to the darker side of the spectrum then I would increase my water intake to bring the colour back to normal expectations.,awareness,,
665,R_3M4dGjaEvYiWoXT,hydration levels and waste products,hydration,toxins,,can sometimes mean unwell. depends how dark and how long for but too clear can sometimes be an issue,color,disease,,it doesnt,no_effect,,
666,R_ZEwI5ao7dfmpZ8B,"Generally, the lighter the colour the more they would drink. Dark would mean you may need to drink more.",amount,,,Could show if they are dehydrated or have other heatlh issues.,hydration,disease,,It doesn't.,no_effect,,
667,R_XRn3RZGo9n2x5Jf,It shows how hydrated you are.,hydration,,,It can show they aren't drinking enough fluids or potentially more serious problem,hydration,disease,,The darker my urine I tend to drink more,drink_more,,
668,R_2dRrXB8wkQiDbly,"How hydrated they are, the darker the colour the more dehydrated they are.",hydration,,,Dehydration leads to fatigue and weakened immune system. So the darker the colour the poorer the health,hydration,color,,If my urine gets a bit darker I drink more water,drink_more,,
669,R_2TF685xoaokWmY4,I think the less you drink the darker your urine iss,amount,,,If its too dark it may mean your kidneys struggle,organ,,,It has no effect on how much i drink,no_effect,,
670,R_VU7KHrAmAl6KeZP,If you have the correct level of water etc then your pee should be a clear slightly yellow colour.  Darker means you need to drink more.,hydration,amount,,If you're unhealthy then your pee tends to be very dark,color,,,If I notice it being a bit dark then I'd probably subconsciously think I need to have more water,drink_more,,
671,R_plvqN6VfExi44tb,the darker the urine the more dehydrated that person is and probably are not drinking enough water or too much alcohol,hydration,amount,diet,"the darker the urine, the unhealthier they are at that particular moment",color,,,No it does not as I drink a lot of water any way,no_effect,,
672,R_1mqMV5PEbVguX8n,More they drink the more clear it would be?,amount,,,It indicates if there are problems with colour/smell etc,color,disease,,Reminds you to drink more.,N/A,,
673,R_Z3OOwk6PKkTLEqt,"I'm under the impression that in general the lighter the colour, the more hydrated the person is.",hydration,,,Hydration is usually equated with good health so my first instinct would be that a light colour is related to good health.,hydration,color,,If there is a dark colour I would make a conscious effort to drink more fluids.,awareness,,
674,R_2iyD4bYzqOckUEh,The more you drink the more your urine should be clearer due to flushing out the system,amount,concentration,,yes,N/A,,,it doesn't,no_effect,,
675,R_tQHkBohgIbvP3ah,My understanding is the darker your urine is the closer to dehydration you are.,hydration,,,"If its dark you could be dehydrated or have medical issues such as UTI, kidney stones or some other issues with the kidney.",hydration,organ,,"If i see that its very dark i'll do my best to drink extra even if i dont ""feel"" thirsty",drink_more,,
676,R_3nVFeTJhqwIGt1d,The yellower it is the higher concentration of urea in the body or a lower concentration of water.,concentration,,,Not related directly.,N/A,,,"Yes , if yellow I decide to drink more water.",drink_more,,
677,R_2WD7r39DrIWoAli,It shows how much of certain chemicals are in the body which in turn reflect what we eat.,toxins,diet,,It may indicate problems as certains things are filtered from the body.,color,,,It does not as I do not know enough about it.,no_effect,,
678,R_w7CB79hMUUpXlTz,A person who drinks plenty of fluids should have pale yellow urine.,amount,,,Dark urine is a sign of dehydration.,hydration,,,if my urine looked darker than usual I would up my water intake,drink_more,,
679,R_1mFrgo25il6x1aM,The stronger the colour the more fluids they need to drink,amount,,,Stronger coloured urine could be a sign of a water infection,disease,,,If the colour is stronger you need to drink more,N/A,,
680,R_3O91zpAf55MWbf9,Darker the colour the less fluid they drink,amount,,,If it's very dark could mean there is a kidney infection,disease,organ ,,If it's too dark it's a sign to drink more,N/A,,
681,R_279yRlHVrzOI8k2,darker = drinks less/not enough liquids,amount,,,darker = poorer health,color,,,I will drink more water if I perceive my urine is dark.,awareness,,
682,R_ThpPxELhuMojBFn,the paler the colour the better hydrated they are,hydration,,,"its a sign that all is well, signs like blood and dark colour can signal issues",color,disease,,i will drink more water if i notice it is somewhat dark in colour,drink_more,,
683,R_1fltxPfU65YWEPr,"The darker the urine, the less the person drinks.  The clearer it is the more the person drinks and is wee hydrated.",amount,,,The more a person drinks the more their system is cleared out and the clearer the urine and the body is dehydated.,hydration,,,I do tend to drink a bit more if my urine is darker.,drink_more,,
684,R_3L0Wt6zDLCvyse3,If its darker they are dehydrated and need more water,hydration,amount,,it can be a sign of poor kidney function,organ,,,It makes me realise on busy days that i may have forgotten to drink enough,awareness,,
685,R_3irn7Hn6L1owo95,how hydrated they are.,hydration,,,gives you early signs you may want to heed about your food and drink intake.,hydration,,,the more yellow the pee to more water i drink.,drink_more,,
686,R_1OjHUht0zRqzDak,Less fluid means less urination so urine remains in the bladder longer resulting in it being a darker xolour,amount,,,"People whose urine is dark can have health conditions which result in poor coloured urine. Dark urine often is a danger to health,",color,disease,,Often! I only have one kidney so I ensure that I drink lots during the day - especially water - and visit the loo frequently. My urine is tested annually by my GP.,awareness,,
687,R_3KCpyvh9hS3kUiF,The darker colour reflects too much alcohol,diet,,,The darker urine is possibly is an indicator of diabetes,disease,,,I suffer from CKD and therefore try to moderate my alcohol intake. I constantly observe the colour of my urine and also the number of times I urinate each day.,awareness,,
688,R_2mYg6QZzF0dDIPv,I suspect if they drink more water compared to other drinks then their urine will be clearer than those that drink a higher amount of tea/coffee and soft drinks,amount,diet,,Darker urine may show a higher concentration of unwanted or unhealthy substances,color,,,I do not focus on the colour of my urine,no_effect,,
689,R_pDZ9OV4NLPTZnYR,I don't know.,N/A,,,If it's too dark it could indicate a problem I think.,color,,,It doesn't.,no_effect,,
690,R_24M0C4wbLldhEW6,"If your urine is almost the colour of water, it is perfect. The darker your urine, the more rubbish is in your urine. Some foods influence our urine like beetroot or asparagus.",hydration,diet,,"The more like water your urine is, the better. People who drink a lot of alcohol and soda drinks seem to have much darker and smelly urine.",color,diet,,"When I see my urine is more yellow than watery, I drink more water to sort it out.",drink_more,,
691,R_3fqmd1uN6xuwSX3,how hydrated they are,hydration,,,moderately tells how hydrated and possibly if there is infection,hydration,disease,,it doesn't,no_effect,,
692,R_3n2h3pUkgouR4ew,"alot. darker your urine the more concentrated it is, usually due to lack of fluids",concentration,amount,,"alot, should not have dark coloured urine",color,,,"to at all, I drink plenty",no_effect,,
693,R_2qpAcE9b6Rtbhyp,the more yellow dark it means they've not drunk enough,amount,,,clear urine means person is healthy,color,,,if wee is of a very strong dark colour i try to drink more water,drink_more,,
694,R_qFxufayzGErr7ax,the darker it is the less they drink,amount,,,the darker it is the less healthy they are,color,,,the darker it is it encourages me to drink more,drink_more,,
695,R_2aGMI7Q0fip12CZ,The more you drink the lighter your urine should be,amount,,,it shows how hydrated they are and kidnedy function,hydration,organ,,My urine tends to have got darker as I get older so I do make a effort to drink plenty of water,awareness,,
696,R_1o21LZcqMGeqTfr,Maybe the amount of alcohol or sugar they are consuming on a daily basis.,diet,,,A certain colour urine depends on what the body is taking in via food/drink.,diet,,,I haven't taken too much notice of my own urine colour. If I did notice blood or a weird colour I would take action.,no_effect,,
697,R_2fxHPkVxxTwbxmW,I believe the darker the urine colour the less they have drank recently meaning they are dehydrated.,amount,hydration,,I think it can show how healthy someone is by how hydrated they are and it can sometimes signal if they have any kidney problems.,hydration,organ,,It doesn't affect my behaviour at all because I don't tend to worry about it as long as I am feeling healthy within myself.,no_effect,,
698,R_3nHtmVYoxvfZcYE,I would think the more you drink the lighter your urine would be. If you are dehydrated the urine would be darker.,amount,hydration,,I would imagine if you are unwell the urine would be darker. The healthier you are the lighter I would think the urine would be.,color,,,If my urine was darker than normal I would drink more water.,drink_more,,
699,R_30qkRRaZUwOJcsV,Very much.  My husband's urine is much darker than mine and I am encouraging him to drink more water.,N/A,,,Very much so - lighter urine is healthier.,color,,,"Very much - I always drink more if my urine is darker, which it very rarely is.",drink_more,,
700,R_Z9yefiu280YHsjf,It does affect the colour of the urine and the urine is much brighter.,N/A,,,If the urine is darker they may not drink enough or they might have some health issues.,hydration,disease,,It does affect it.,N/A,,
702,R_2wSN0mBrTHu6WE7,Yes as many drinks have colour added so it must affect the colour of one's urine,diet,,,It could indicate kidney problems,organ ,,,As long as there is no sudden change in colour it would not concern me,N/A,,
703,R_1gqnjuD8HUx1oFG,"The more yellow, orange usually person is dehydrated.   Pale indicate more water drunk, hydrated.  Too much alcohol.",hydration,diet,,"Urine can show infections, how hydrated they are, possibly diabetes.  Too much alcohol perhaps.",hydration,disease,diet,If it goes too orange or dark yellow i will drink more water and monitor.,drink_more,,
704,R_3fIDXihNxDaqMXX,Lighter colour means more hydrated,hydration,,,Dark colour means dehydration,hydration,,,"If I notice it is darker than usual, I try to drink more",drink_more,,
705,R_2Xj3aqZoWLOReF2,"The more concentrated the colour the less they drink. If colourless, they are drinking a lot of fluid",concentration,amount,,Diabetes insipidus means they are urinating a lot so their urine will be colourless I think. Concentrated coloured urine means they are dehydrated,,hydration,,If I see it is more concentrated than usual it is a reminder to get myself a drink,drink_more,,
706,R_1QJHxAl3SUm5TKN,If the person is dehydrated then their urine will be darker,hydration,,,I think darker urine means bad health,color,,,It would make me aware of when I haven't had enough to drink,awareness,,
707,R_3n8D9qIXx9v75LU,"the darker, the more unhealthy",health,,,digestion?,N/A,,,"It is usually darker after a night of drinking alcohol, so would drink more water",drink_more,,
708,R_e2nSY8wZPxJ8CxX,"If it's light (straw colour), they are probably not dehydrated and therefore have adequate water intake. However, someone can have dark urine due to factors other than dehydration, due to e.g. health conditions, colour of food eaten etc.",hydration,diet,health,"Urine can be a good, but not failproof, diagnostic tool. If someone has a UTI, for example, simply looking at the colour of urine can help to justify a course of action. Since urine is waste, the colour can also help us to see whether kidneys are functioning within normal limits.",disease,organ,,"If it is dark first thing in the morning, I wouldn't care. If it is dark later in the day, I would probably check to see whether I was sticking to my routine of 2-3 pints of water a day. But since I have this routine, I would probably wonder about causes other than dehydration.",no_effect,,
709,R_2abQ0xvCGUx8sqi,the lighter the urine the more hydrated (the person has taken in more fluids),hydration,amount,,the urine colour shows how the effectively the kidneys are working,organ ,,,when urine is darker it is always a good idea to increase water.  I always try to increase the amount of water I drink regardless. Some days I am more successful than others!,drink_more,,
710,R_3m8prsPyqIgcBff,The more water you drink the clearer your urine is. Except when you have berocca- makes it luminous.,amount,diet,,You're dehydrated if your urine is darker,hydration,,,If it's too dark I drink more water,drink_more,,
711,R_1QgEla5PunPAywq,Dehydration makes your urine appear darker and have a stronger scent.,hydration,,,The only health related thing I know of that affects urine is dehydration.,hydration,,,"I am terrible at remembering to drink and often get dehydrated, my urine is my biggest indicator that I need to drink more.",drink_more,,
712,R_33yuJbUfdHzWA5J,"from experience yes, but obviously impacted by other factors e.g. exercise / sweating.",N/A,,,If not correlated to volume to liquid drunk / expended via other means then it might indicate problems.,hydration,color,,If it is at the dark end of the scale - then I might consider if I have drunk enough that day.,drink_more,,
713,R_1MKffJOqxotz2zV,How hydrated you are,hydration,,,No sure,N/A,,,Never thought about it,no_effect,,
715,R_0iTcnQtWJmRkPHr,The More water you drink the Clearer it is.,amount,,,"Very much, the darker the less hydrated or indicator of a poor diet.",hydration,diet,,It does not as a rule.,no_effect,,
716,R_24Daah5i1W03f8Q,"Yes, without doubt it does. it is a very easy way to monitor liquid intake",N/A,,,It will show whether they are dehydrated,hydration,,,I keep an eye on it but it is usually what I consider to be the right colour,drink_more,,
717,R_1r3qOQR28rrL2IH,i think that if you hardly drink water/ squash your urine can tend to be very dark in colour same as if you dont drink very much. whereas if you drink lots of water/squash during the day then your urine will more than likely appear pale in colour or similair to water. i also think that if you are prone to drinking engry drinks and fizzy pop on a daily basis and only comsume these then your urine is likely to be a very dark colour.,amount,diet,,"urine is often only related to a persons health if there is protein, blood or traces of certain things within there urine that can give them things like uti's etc.",color,disease,,my own urine tends to be quite pale in colour almost like water but if it does darken slightly i will tend to drink more fluids.,drink_more,,
718,R_3pcoDPvFduSY73Q,the clearer the urine the more hydrated someone is,hydration,,,i would say the clearer the more healthy,color,,,its not something i would pay attention to,no_effect,,
719,R_uy2E85AwjhOT55L,No Idea. Should be straw coloured.,N/A,,,Partially related.,N/A,,,Not at all.,no_effect,,
720,R_d51V75SxEtV7lVD,the more they drink the clearer it is,amount,,,the cleaner it is the healthy they are,color,,,i drink more if it is dark yellow,drink_more,,
721,R_2qqobfVNo1Kutzi,"Usually the lighter the colour of the urine the more water you drink.  But I think it's possible to drink lots of fizzy drinks, or flavoured juice and have darker urine.",amount,diet,,I think the darker the urine then you should definitely drink more water,hydration,,,If i have very dark urine I would worry,drink_more,,
722,R_SDhkX7NDuRwAdcB,"the clearer the urine is, the more water you're drinking.",amount,,,"the healthier you are the more your body can gte the right nutrients, so it can flush out clearer urine easier",color,,,if i notice my urine looks really dark or cloudy i drink a glass of water,drink_more,,
723,R_1LTqVYTmwJjkR6o,The paler the colour of the urine the more they have had to drink.,amount,,,"Blood, sugar, or cloudy urine may be a sign of disease.",disease,,,I try to drink more water if my urine is darker yellow coulour but not always.,sometimes_more,,
724,R_3ffXm20Lpd0IENP,"Darker urine means dehydration, so therefore not drinking enough.",hydration,amount,,Not sure.  Urine should be light in colour if you are drinking enough.,hydration,,,"If I notice I have dark urine, I make sure to drink more.",drink_more,,
725,R_0jOKZP2eigUTkkh,If you don't drink enough it's darker,amount,,,"Not sure, but I know it is",N/A,,,It doesn't really,no_effect,,
726,R_z1fLMG58kTZ85nH,yes if its darker urine they need to drink more water,amount ,,,yes definitely,N/A,,,sometimes,N/A,,
727,R_3OlvWZC2fQ9FyPf,"to a certain extent, if I drink a lot then my urine is quite pale, if I haven't drunk anything for a couple of hours, then quite dark, in your chart it was about the average colour I see",amount,,,I image that it gets darker when you're not well,color,,,"has no effect, after 70+ years I just accept it covers a range of  shades",no_effect,,
728,R_5nzfJ4h79OSxJkt,I think you can tell how hydrated someone is depending on the colour of their urine.,hydration,,,I think either too light or too dark is a signal of poor health.,color,,,"It does, when my urine is too dark I tend to drink more, but also I don't go overboard with it, I don't think having light urine, with little colour, is a good thing. Somewhere in the middle reflects good health for me.",awareness,,
729,R_xx7TMTbINl9IT7z,If it is dark it usually means they haven't drunk enough fluids.,amount,,,It could be linked to kidney infections.,organ ,,,I try to drink more.,drink_more,,
730,R_1CBjDtIMlqBQsQ3,water is filtered through  your kidneys,health,,,if they are diabetic,N/A,,,i drink more if its strong coloured,drink_more,,
731,R_2dgTYKv1MViXbJP,"You can tell if the person is ill, if they are dehydrated or not  if they have an infection",hydration,health,,yes definitely,N/A,,,if my urine is too dark I drink more water and cut out the tea,drink_more,,
732,R_cUYzASFwhNpUsxz,I would think they're not drinking enough.,amount,,,"The lighter the colour, the better healthwise",color,,,"To be honest, I don't really check the colour.",no_effect,,
733,R_zU1eHa85Pbblq4V,It shows how hydrated you are.,hydration,,,It shows the correct levels of hydration.,hydration,,,I always check to see how hydrated I am.,drink_more,,
734,R_2CwvslKIembS748,The colour of someones urine is affected by a number of things but mainley water,N/A,,,It can show if they have something wrong with them,N/A,,,If my urine is darker I tend to drink more,drink_more,,
735,R_zYBRPBI41eQ3Ddn,dehydration level,hydration,,,yes as it can indicate your level of hydration,hydration,,,i drink more fluid if it is dark,drink_more,,
736,R_3EWQ2tu4wQFr29k,dehydration,hydration,,,dehydration,hydration,,,it doesnt,no_effect,,
737,R_1QyFcIpqs3kFYk9,"The lighter the colour of urine, the more fluids that person drinks.",amount,,,"If someone's urine is frequently dark, that person's health is not so good.",color,,,"When I notice the colour of my urine is dark, I make a conscious effort of drinking more water/fluids.",awareness,,
739,R_3gMbUfke638uQJj,"Independent of any medical conditions, the less colour the urine has, the more they've drank.",amount,health,,"Generally, the less colour the urine has, the better hydrated the person is, and thus they are more likely to be in a healthier state.",hydration,color,,If my urine has a moire yellow colour then I will drink more water to rehydrate myself.,drink_more,,
740,R_3kvbaRrgGXY4xuY,the more dehydrated someone is the darker it will be,hydration,,,better to be lighter and no blood,N/A,,,I know if its darker I need to drink more water,awareness,,
741,R_sOjsdNT90uaf46l,darker it is the less they have drunk,amount,,,lighter urine more healthy,color,,,if it is very dark drink more,drink_more,,
743,R_1onUPngUlcxW4vW,100% yes,N/A,,,100% yes,N/A,,,I always drink around 3-4 litres of water a day,drink_more,,
744,R_3RaQjyCyIOnbFS2,I do not know - perhaps how much waste products are diluted internally?,N/A,,,I do not know - I'm guessing anything extreme would be bad.,N/A,,,It does not affect my behaviour.,no_effect,,
745,R_3HNgtYGOPSEpfhB,i don't know,N/A,,,i don't know,N/A,,,i don't know,no_effect,,
746,R_2sR4QpzjnAp5rEc,The lighter the colour the more they drink,amount,,,Lighter is better,color,,,It doesn't,no_effect,,
747,R_2qDF2beOQNzacaS,How hydrated they are,hydration,N/A,,"Again hydration, hydration is needed for your body to function correctly",hydration,,,If its darker than normal I will chug a litre of water,drink_more,,
748,R_8ocp6N3y3Dg2ztv,"The lighter the color of the urine, the more fluids the person has consumed.",amount,,,I think that the color of a person's urine can indicate certain aspects of his health.,color,,,It does not affect my drinking behavior. Most of the time it seems to me that my urine is the right color.,no_effect,,
749,R_w5fzk6o8USKATQd,"I believe the darker the urine, indicates the less they drink. For example, not having enough water could cause dark urine. Also, if one was to drink very strong non/lightly diluted drinks alot, that too may cause darker urine. The more water consumed, the lighter urine will be.",amount,diet,,"I think the lighter the urine, the healthier they're more likely to be. Darker urine could suggest various amount of health-related issues or poor diet/poor drinking habits which also can result in health decline.",color,disease,diet,"If my urine is particularly darker than what it would usually be, I would drink more water. However, if i was to be drinking alcohol and my urine was darker, i'd presume the alcohol would be the reason why but it wouldn't be usual of me to drink more water after noticing darker or different coloured urine in that situation.",drink_more,,
750,R_2dj4FBAWnsvFnaR,If your urine is dark it normally means you need to drink more water,hydration,,,Sometimes dark urine can be an indicator that something may be wrong,N/A,,,"If I notice mine is not very light, i try ro remember to drink more water",sometimes_more,,
751,R_248abQKQMLOvbzo,"the darker it is, the less they have drank.",amount,,,"I assume that you should have fairly light to medium colour, most of the time if healthy but it may be darker, for example, first thing in the morning.",color,,,"yes, if I saw it was particularly dark i would drink more water that day",drink_more,,
